Goal,Summary/abstract,Site name,Site location,Cruise or expedition,Collection method,Collection date,Chronological details,Environmental setting,Depositional setting,Links to ancilary data,Repository,Storage,Preparation,Sieve mesh size and unit,Mounting medium,Size of coverslip,Counting method,Count magnification,Count marker,Marker details,Taxonomic concept,Lumping explanation,Variant mapping explanation,Highest taxonomic resolution,Unique names,Group specific requirements,Link parallel taxonomies,Link to external ontology,Zero abundances,Unidentified specimens,Indication of completeness,Reworked,Source,Contributor,Institution,Project,Funder,Addition1,Size fraction incl. unit,Specimen state,Sample preservation,Sample mass incl. unit,Dry bulk density incl. unit,Sample_addition,Top and bottom depth incl. unit,Sedimentary unit,Sample ID,Sample age and unit,Raw counts,Raw_explanation,Qualitative classification,Data_addition,Final,Career,Fossil_group,Continent
Desired,Recommended,Recommended,Essential,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Desired,Recommended,Essential,Essential,Recommended,Desired,Essential,Recommended,Essential,Desired,Essential,Essential,Recommended,Yes,Recommended,NA,NA,Recommended,Essential,Essential,NA,Desired,Recommended,Recommended,Desired,Desired,Desired,NA,Recommended,Essential,Recommended,Recommended,Recommended,NA,Recommended,NA,Essential,Recommended,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,South America
Recommended,Recommended,Desired,Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Recommended,Recommended,NA,Essential,Recommended,Recommended,Recommended,Yes,NA,Essential,NA,NA,ECR,Benthic foraminifera,Asia
Recommended,Recommended,Desired,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,No,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,NA,Desired,Desired,Essential,Essential,Recommended,NA,Essential,Essential,Essential,Recommended,Yes,NA,Recommended,NA,NA,ER,Planktonic foraminifera,Asia
Recommended,Recommended,Essential,Essential,Recommended,Essential,Recommended,Desired,Desired,Desired,Desired,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Desired,Essential,Essential,Recommended,Yes,Essential,Essential,Recommended,Desired,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Desired,Desired,NA,Essential,Essential,Essential,Desired,Desired,NA,Recommended,Recommended,Essential,Essential,Yes,NA,Recommended,NA,NA,ECR,Planktonic foraminifera,Europe
Desired,Recommended,Essential,Essential,Recommended,Essential,Desired,Recommended,Desired,Recommended,Recommended,Essential,Recommended,Essential,Essential,Recommended,Desired,Essential,Recommended,Recommended,Essential,Essential,Essential,Recommended,Yes,Recommended,Essential,Recommended,Recommended,Desired,Essential,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,NA,Essential,Recommended,Essential,Recommended,Recommended,NA,Essential,Recommended,Essential,Recommended,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,Europe
Desired,Desired,Recommended,Essential,Desired,Recommended,Desired,Essential,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Essential,Desired,Desired,Recommended,Desired,Desired,Desired,Essential,Recommended,Recommended,Yes,Recommended,NA,NA,Recommended,Essential,Recommended,Desired,Desired,Recommended,Desired,Desired,Desired,Desired,"additional information about the area where the core site is located (ex. Subtropical Gyre, Agulhas Current, Labrador Sea, Sargasso Sea, Benguela upwelling system, etc) could be a desired data. Regarding the chronology by 14C, I deem very reccomended information about what kind of material was used to dating. If planktonic foraminifera was used, which species. It is important because the choice of species that inhabits the same water mass will produce more robust 14C dating.",Essential,Recommended,Recommended,Desired,Desired,NA,Essential,Desired,Desired,Essential,Yes,NA,Desired,NA,NA,ER,Planktonic foraminifera,South America
Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Desired,Recommended,Yes,Recommended,Recommended,Recommended,Recommended,NA,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,source of taxonomic identification,Essential,Essential,Essential,Essential,Essential,sieve size used to wash samples,Essential,Recommended,Essential,Essential,Yes,NA,Essential,NA,"Information on available replicas, if applicable",ER,Benthic foraminifera,South America
Recommended,Desired,Essential,Essential,Recommended,Recommended,Desired,Recommended,Desired,Desired,Recommended,Desired,Recommended,Essential,Essential,Essential,Recommended,Recommended,Desired,Desired,Desired,Recommended,Essential,Essential,Yes,Essential,Recommended,Recommended,Recommended,Recommended,Desired,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Provision of age tie points used to calculate age for these samples.,Essential,Recommended,Recommended,Recommended,Recommended,NA,Essential,Desired,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Europe
Recommended,Recommended,Essential,Essential,Desired,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Desired,Desired,Essential,Essential,NA,Desired,Essential,Essential,NA,NA,Essential,Essential,Essential,Yes,Essential,NA,NA,NA,Desired,Recommended,Recommended,Recommended,Essential,Recommended,Desired,Desired,Desired,NA,NA,NA,Recommended,NA,NA,"as with preservation, an estimate of abundance is often appreciated",Essential,Recommended,Recommended,Essential,Yes,NA,Essential,NA,NA,ECR,Coccolithophores,Europe
Desired,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Desired,Recommended,Recommended,Recommended,Essential,Essential,Essential,NA,NA,Recommended,Desired,NA,NA,Recommended,Recommended,Recommended,Yes,Recommended,Essential,Essential,Recommended,Desired,Recommended,Desired,Desired,Essential,Recommended,Recommended,Desired,Desired,NA,Essential,Recommended,Recommended,Recommended,Recommended,NA,Essential,Desired,Recommended,Recommended,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Europe
Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Recommended,Recommended,Essential,Essential,Recommended,Yes,Recommended,Essential,Recommended,Recommended,Desired,Essential,Essential,Desired,Essential,Essential,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Recommended,NA,Essential,Recommended,Recommended,Essential,Yes,NA,Essential,NA,NA,ECR,Planktonic foraminifera,South America
Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Yes,Essential,Recommended,Recommended,Desired,Essential,Essential,Essential,Essential,Essential,Desired,Desired,Desired,Desired,Just be as thorough as possible and put as many things in as possible as anything could be useful later especially if working in deep time as methodgies change.,Essential,Essential,Desired,Desired,Recommended,NA,Essential,Essential,Recommended,Essential,Yes,NA,Essential,"It would depend on the group of fauna -- for instance conodont taxa are heavily being revised but foraminifera are more established. It would be better to use the qualitative data if one is doing an assemblage analysis with maths but if you are  out taxon work with them then, you would definitely require more info if that makes sense?",NA,ER,Other,North America
Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Recommended,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Coccolithophores,North America
Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Desired,Recommended,Recommended,Yes,Recommended,Essential,Essential,Recommended,NA,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Desired,Desired,Counting procedures/methods,Recommended,Desired,Recommended,Essential,Essential,"age (essential), geological unit(formation) (essential),  sample core depth (essential)",Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Coccolithophores,Europe
Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Desired,Desired,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Recommended,Desired,Desired,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Desired,Desired,Desired,Desired,Desired,NA,Desired,Recommended,Recommended,Recommended,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Africa
Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Desired,Recommended,Desired,Desired,Recommended,Essential,Essential,Recommended,Yes,Essential,Desired,Recommended,Desired,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Desired,Recommended,Using a standard method for collection and processing of samples will increase accuracy of comparison.,NA,Essential,Essential,Essential,Recommended,NA,Recommended,Essential,Essential,Essential,Yes,NA,Recommended,NA,NA,ER,Benthic foraminifera,North America
Recommended,Desired,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Recommended,Desired,Desired,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Desired,Desired,Desired,Essential,Essential,Recommended,Yes,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,NA,Essential,Recommended,Essential,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,No,ECR,Planktonic foraminifera,Africa
Desired,Recommended,Desired,Desired,Recommended,Desired,Recommended,Desired,Desired,Desired,Desired,Recommended,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Essential,Desired,Desired,Yes,Essential,NA,NA,Recommended,NA,Recommended,Recommended,Recommended,Desired,Desired,Desired,Desired,Desired,Taphonomy information,Desired,Desired,Desired,Desired,Desired,NA,Desired,Desired,Desired,Desired,Yes,NA,Recommended,NA,NA,ER,Benthic foraminifera,South America
Essential,Recommended,Recommended,Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Recommended,Yes,Recommended,Essential,Recommended,Essential,Recommended,Essential,Essential,Recommended,Essential,Recommended,Essential,Recommended,Recommended,NA,Essential,Essential,Recommended,Essential,Essential,Sample counted split,Essential,NA,Essential,NA,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,South America
Essential,Essential,Essential,Essential,Desired,Desired,Desired,Essential,Essential,Recommended,Essential,Essential,Desired,Recommended,Recommended,Recommended,Desired,Recommended,Desired,Recommended,Essential,Recommended,Essential,Recommended,Yes,Essential,Recommended,Recommended,Essential,Recommended,Essential,Recommended,Desired,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Yes,NA,Desired,NA,NA,ECR,Benthic foraminifera,Australia
Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,NA,Essential,Essential,NA,Recommended,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,It is intersting to insert also the bibliography associate to the contingente data sets,ER,Planktonic foraminifera,Europe
Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Desired,Essential,Recommended,Recommended,Yes,Essential,NA,NA,NA,Recommended,Essential,Recommended,Essential,Essential,Essential,Recommended,Desired,Recommended,NA,Essential,Recommended,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Recommended,NA,NA,ER,Benthic foraminifera,North America
Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,NA,NA,Recommended,NA,Essential,Recommended,NA,Essential,NA,NA,NA,NA,NA,Essential,Essential,Recommended,Essential,Desired,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,Asia
Essential,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Desired,Recommended,Essential,Yes,NA,NA,NA,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Recommended,NA,Desired,Desired,NA,NA,Recommended,Desired,Recommended,Desired,Yes,NA,Desired,NA,NA,ECR,Benthic foraminifera,Europe
Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Yes,Desired,Desired,Desired,Desired,Essential,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Desired,Name of species,Desired,Desired,Desired,Desired,Desired,No,Desired,Desired,Desired,Desired,Yes,NA,Desired,NA,No all things are awesome,ER,Planktonic foraminifera,Asia
Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,No,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,No,Essential,Essential,Essential,Essential,Essential,Magnetic susceptibility,Essential,Essential,Essential,Essential,Yes,NA,Essential,No,Thanks for this effort!,ER,Diatoms,South America
Essential,Recommended,Essential,Recommended,Recommended,Essential,Desired,Essential,Essential,Essential,Recommended,Desired,Desired,Recommended,Essential,Recommended,Desired,Desired,Desired,Desired,Recommended,Essential,Essential,Essential,Yes,Essential,Essential,Recommended,Recommended,Desired,Desired,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Recommended,Recommended,NA,Essential,Recommended,Recommended,Essential,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,South America
Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Benthic foraminifera,Europe
Desired,Desired,Desired,Essential,Desired,Essential,Recommended,Essential,Desired,Desired,Essential,Desired,Essential,Essential,Essential,Recommended,Recommended,Desired,Desired,Desired,Desired,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Recommended,Desired,Desired,Desired,"1. The core top age, if available, is very helpful, as it is treated as the representative of the modern conditions. However, the core tops can be quite old, depending on the sedimentation rate at the core site. 

2. The total number of specimens picked from each sample, as well as the number of specimens of each species, is crucial to assess the reliability of the relative abundance data.",Essential,Essential,Recommended,Essential,Essential,NA,Essential,Recommended,Recommended,Essential,Yes,NA,Recommended,NA,NA,ER,Benthic foraminifera,Asia
Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Recommended,Desired,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,No,Essential,Essential,Essential,Recommended,Desired,Desired,Desired,Essential,Essential,Recommended,Recommended,Essential,Recommended,NA,Recommended,Desired,Essential,Essential,Recommended,NA,Essential,Recommended,Essential,Recommended,Yes,NA,Recommended,NA,NA,ER,Coccolithophores,Asia
Recommended,Essential,Essential,Essential,Essential,Recommended,Desired,Essential,Desired,Desired,Recommended,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Essential,Essential,Desired,Recommended,Recommended,"The number of specimens counted in each sample, particularly if the dataset only shows the relative abundances of the different species - essential
The number of fragments counted in the sample respect to the whole foraminifers, to be able to evaluate preservation issues - essential
The coiling of some species - essential
The number of foraminifers per gram of sediment to evaluate changes in the sedimentary environment - desirable",Essential,Recommended,Essential,Essential,Recommended,"Instead of sample mass I would indicate the number of foraminifers counted per sample, or for cocoliths/diatoms the number of specimens counted per slide and the number of fields counted
Also if the counts come from a single count or if they did replicates and the mean value of 2-3 counts is shown",Recommended,Recommended,Essential,Essential,Yes,Maybe both can be archived,Recommended,"Qualitative data is very subjective so it is difficult that these data can be useful for further studies, particularly statistical or modelling studies, so I would not focus on that kind of data","I would try to ask the people to update their published datasets with the new ontology once it is completed. I have been thinking in doing so with my own datasets, I just need to ask if PANGAEA would update the published data, which I believe they should. It is important to update the published data, I have been trying to reuse published data from other authors and sometimes it is a nightmare because there is no sample ID or even the information of the depth is missing...
So thanks for this initiative and the effort!",ER,Planktonic foraminifera,Europe
Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Recommended,Essential,Essential,Recommended,Yes,Essential,Essential,Essential,Recommended,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Desired,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,Europe
Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Desired,Desired,Essential,Desired,NA,NA,Essential,Essential,Essential,Yes,NA,NA,NA,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,"For the I (i.e., interoperable because it should integrate with other data) and R (i.e., reusable because it could be someones first ever count) in FAIR an indication of taxonomic skill of the sampler/counter (e.g., phd, bsc, msc). You could also add name of analyst not just name of data (i assume) contributor (those aren't the same). For the R the split of the sample you need splits to convert raw data (you mention sample prep but the examples are all sample 'processing' and you could argue splitting is not processing). There is also no mention of how raw is the raw data but that might be in the following questions, for reusable and interoperable (= processing aspect) you need raw unprocessed (e.g., not converted to counts per g but just counts + a split col + a weight col)",Essential,Essential,Recommended,Recommended,Recommended,Split of sample - essential,Essential,Desired,Desired,Desired,Yes,NA,Essential,"I would have like you to have split ""Depth, either top and bottom, or mid and thickness. With unit"" into the two distinct categories because I am curious why people don't report thickness either as a derivable or defined parameter. And similar to your raw question asked why not...as depth is also the thing that is commonly left out of datasets making it impossible to derive / calculate a new age model (which goes out of date every new tuning/radiocarbon calibration)","As a final remark, some of your questions are leading and unclear what the responder is agreeing with. For instance your question about taxonomic lumping you ask two points (there is an AND), I can agree with highest taxonomic resolution but I can disagree with excluding summed taxa. You can apply a minimum information standard common in things like synthetic biology where a data generator must include these things but can also include extra things (now you could have asked people to add in a qualifier 'agg' to aggregated /summed taxa). I disagree with the statement of it makes machine reading complicated (pandas in python deals with it fine) instead it gives more information (how the counter aggregated things in their study)",ER,Planktonic foraminifera,Europe
Desired,Desired,Recommended,Essential,Desired,Recommended,Recommended,Essential,Desired,Desired,Desired,Essential,Recommended,Recommended,Essential,Desired,Desired,Recommended,Desired,Recommended,Recommended,Recommended,Desired,Desired,Yes,Desired,Essential,Desired,Desired,Desired,Essential,Essential,Desired,Essential,Essential,Desired,Desired,Desired,Where are the faunal/floral slides held - essential so they can be checked if necessary,Essential,Recommended,Desired,Essential,Desired,NA,Essential,Desired,Essential,Essential,No,Relative abundance data should ALWAYS be accompanied by total count numbe,Recommended,NA,"For taxonomic purposes, best to provide images of typical specimens of identified common taxa. These images MUST always state sample source and be deposited in a public institution collection and the catalogue number MUST always be cited.",ER,Benthic foraminifera,Australia
Recommended,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Desired,Essential,Desired,Recommended,Recommended,Essential,Essential,Recommended,Yes,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Desired,Desired,NA,Essential,Recommended,Recommended,Recommended,Desired,NA,Essential,Recommended,Essential,Recommended,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,Australia
Desired,Essential,Essential,Essential,Recommended,Recommended,Recommended,Desired,Essential,Recommended,Essential,Recommended,Desired,Essential,Essential,Essential,Desired,Essential,Recommended,Essential,Desired,Recommended,Recommended,Recommended,Yes,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Desired,Essential,Essential,Essential,Recommended,Essential,NA,Recommended,Recommended,Recommended,Essential,Essential,NA,Essential,Recommended,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,Europe
Essential,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Essential,Desired,Recommended,Recommended,Recommended,Desired,Essential,Recommended,Desired,Essential,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Recommended,Desired,Desired,Recommended,Essential,Essential,Essential,Recommended,Recommended,Desired,NA,Recommended,Essential,Recommended,Recommended,Desired,NA,Essential,Desired,Essential,Recommended,No,"Raw data may be more confusing, with the majority of people simply preferring ready-to-use/clearly organised data; if raw data is useful to an individual, this could be requested via email (there could always be an option in the repository to state whether raw data is available or not on request).",Essential,"I have found the terms 'absent', 'rare' etc. to be unhelpful, as most of the time even when they are given quantitative values (i.e., <5 individuals, 6-10 individuals), the amount of sediment processed is not given. I'm sure there could be a straightforward manner where we state clearly to what extent a dataset is semi-quantitative, if it is.","This is a lovely idea and hopefully we get to see the results of the survey, as I'm interested to see the different viewpoints and how people think it is best to move forward.",ECR,Planktonic foraminifera,Europe
Desired,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Recommended,Desired,Essential,Desired,Essential,Essential,Essential,Essential,Recommended,Yes,Essential,Essential,Desired,Desired,Desired,Desired,Desired,Recommended,Essential,Essential,Recommended,Desired,Desired,"What I missed is full sample IDs. For instance, in the IODP system, data is often published with only depth (and then in the worst case with the proper name of the depth scale used). with sample IDs (Core, Section Interval), depths can always be calculated, modified  or derived.",Recommended,Desired,Desired,Desired,Desired,NA,Essential,Desired,Essential,Essential,No,"Sometimes raw and full paleontological datasets yield enough for multiple publications. sometimes it is preferred to reveal not everything at the same time when you are working on consequetive papers. So in principle I am for open access of full raw counts, for transparency, but I also sometimes see why this is not always immediately done.",Recommended,NA,NA,ER,Dinocysts,Europe
Desired,Desired,Desired,Essential,Desired,Recommended,Desired,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Desired,Desired,Essential,Essential,Recommended,Recommended,Recommended,Essential,Essential,Yes,Essential,Essential,Essential,Desired,Recommended,Essential,Recommended,Desired,Essential,Essential,Recommended,Desired,Desired,NA,Essential,Recommended,Recommended,Recommended,Desired,"<Maybe the differentiation between big morphogroups could be helpful for macroecological study regarding some species. For example, if planktic or benthic, not too specific neither too complicated to interpret",Essential,Essential,Recommended,Recommended,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,Europe
Desired,Desired,Recommended,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Yes,Recommended,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,NA,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Diatoms,North America
Recommended,Essential,Recommended,Essential,Recommended,Desired,Desired,Essential,Essential,Recommended,Desired,Essential,Desired,Recommended,Recommended,Desired,Desired,Recommended,Desired,Desired,Desired,Essential,Essential,Essential,Yes,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Desired,Essential,Recommended,Desired,Desired,Desired,NA,Recommended,Desired,Recommended,Desired,Desired,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Benthic foraminifera,South America
Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Recommended,Desired,Desired,Recommended,Recommended,Desired,Recommended,Recommended,Desired,Desired,Essential,Recommended,Desired,Recommended,Essential,Essential,Recommended,Yes,Essential,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Desired,Desired,NA,Essential,Recommended,Recommended,Recommended,Desired,NA,Essential,Recommended,Essential,Recommended,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Europe
Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Desired,Desired,Desired,Yes,Desired,Recommended,Recommended,Desired,Desired,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Desired,NA,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Recommended,NA,NA,ECR,Benthic foraminifera,Europe
Recommended,Recommended,Recommended,Recommended,Desired,Recommended,Desired,Recommended,Recommended,Recommended,Desired,Desired,Desired,Recommended,Recommended,Desired,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Yes,Essential,Recommended,Recommended,Recommended,Essential,Recommended,Essential,Recommended,Desired,Recommended,Desired,Desired,Desired,NA,Essential,Recommended,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Recommended,NA,NA,ECR,Diatoms,North America
Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Essential,Yes,Essential,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,NA,Essential,Essential,Essential,Essential,Recommended,NA,Recommended,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,North America
Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Yes,Recommended,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,"It would be desirable, or at least optional to list the paleoceanography or paleoclimatology studies that used the samples but this may be difficult especially because there may be future studies that are not yet listed. So, the database must be updated constantly.",Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,Qualitative and categorical abundance data may be easier and quicker than discrete specimen counting  which is understandably preferred for preliminary reports,NA,ER,Coccolithophores,Asia
